Accession,Exp,Species
24361742_1,Human Damaged vs Intact OA Cartilage,Human
GSE57218_1,Human Damaged vs Intact OA Cartilage,Human
E-MTAB-4304_1,Human Damaged vs Intact OA Cartilage,Human
E-MTAB-7313_1,Human Damaged vs Intact OA Cartilage,Human
EGAD00001001331_1,Human Damaged vs Intact OA Cartilage,Human
22659600_1,Human Intact OA vs non-OA Cartilage ,Human
E-MTAB-6266_1,Human Intact OA vs non-OA Cartilage ,Human
GSE114007_1,Human Intact OA vs non-OA Cartilage ,Human
GSE57218_B_1,Human Intact OA vs non-OA Cartilage ,Human
OANOF_1,Human Intact OA vs non-OA Cartilage ,Human
GSE51588_1,Human Damaged vs Intact OA Bone ,Human
GSE51588_2,Human Damaged vs Intact OA Bone ,Human
E-MTAB-5564_1,Human Damaged vs Intact OA Bone  Marrow,Human
E-GEOD-43923_1,Human Osteophytic vs Intact OA Cartilage,Human
E-GEOD-82107_1,Human OA vs nonOA Synovium,Human
GSE46750_1,Human OA vs nonOA Synovium,Human
E-GEOD-26475_1,Mouse Surgical OA vs Sham Joint,Mouse
E-GEOD-26475_2,Mouse Surgical OA vs Sham Joint,Mouse
E-GEOD-26475_3,Mouse Surgical OA vs Sham Joint,Mouse
GSE41342_1,Mouse Surgical OA vs Sham Joint,Mouse
GSE41342_2,Mouse Surgical OA vs Sham Joint,Mouse
GSE41342_3,Mouse Surgical OA vs Sham Joint,Mouse
GSE41342_4,Mouse Surgical OA vs Sham Joint,Mouse
GSE45793_3,Mouse Surgical OA vs Sham Cartilage,Mouse
GSE45793_4,Mouse Surgical OA vs Sham Cartilage,Mouse
GSE45793_5,Mouse Surgical OA vs Sham Cartilage,Mouse
GSE53857_1,Mouse Surgical OA vs Sham Cartilage,Mouse
GSE53857_2,Mouse Surgical OA vs Sham Cartilage,Mouse
GSE53857_3,Mouse Surgical OA vs Sham Cartilage,Mouse
GSE103416_1,Mouse MIA vs Control Cartilage,Mouse
GSE103416_2,Mouse MIA vs Control Cartilage,Mouse
GSE103416_3,Mouse MIA vs Control Cartilage,Mouse
GSE33754_1,Mouse STR vs CBA Cartilage,Mouse
GSE33754_2,Mouse STR vs CBA Cartilage,Mouse
GSE33754_3,Mouse STR vs CBA Cartilage,Mouse
E-MTAB-5879_1,Pig DMM vs Sham Cartilage,Pig
E-MTAB-5879_2,Pig DMM vs Sham Cartilage,Pig
E-MTAB-4294_1,Pig DMM vs Sham Synovium,Pig
E-MTAB-3186_1,Pig DMM vs Sham Synovium,Pig
E-MTAB-3186_2,Pig DMM vs Sham Synovium,Pig
E-MTAB-3186_3,Pig DMM vs Sham Synovium,Pig
E-MTAB-3186_4,Pig DMM vs Sham Synovium,Pig
E-GEOD-8077_2,Rat Surgical OA vs Sham Cartilage,Rat
E-GEOD-8077_3,Rat Surgical OA vs Sham Cartilage,Rat
GSE42295_2,Rat Surgical OA vs Sham Cartilage,Rat
GSE30322_1,Rat Surgical OA vs Sham Bone,Rat
GSE30322_2,Rat Surgical OA vs Sham Bone,Rat
GSE30322_3,Rat Surgical OA vs Sham Bone,Rat
GSE112641_1,Mouse Surgical OA vs Sham Joint,Mouse
GSE112641_2,Mouse Surgical OA vs Sham Joint,Mouse
GSE112641_3,Mouse Surgical OA vs Sham Joint,Mouse
GSE112641_4,Mouse Surgical OA vs Sham Joint,Mouse
GSE112641_5,Mouse Surgical OA vs Sham Joint,Mouse
GSE112641_6,Mouse Surgical OA vs Sham Joint,Mouse
GSE112641_7,Mouse Surgical OA vs Sham Joint,Mouse
GSE112641_8,Mouse Surgical OA vs Sham Joint,Mouse
GSE112641_9,Mouse Surgical OA vs Sham Joint,Mouse
